customer_id,full_name,lifetime_value,total_orders,segment
5682,Heather Norton,1339.7,21,knowledge
5683,Kelly Scott,2125.44,4,ok
5684,Jeffrey Mitchell,2261.5,24,natural
5685,Christina Peterson,859.03,10,
5686,Duane Moore,22.27,5,film
5687,Michael Bryant,2190.54,14,artist
5688,Tamara Rocha,1685.21,6,anyone
5689,Dylan Meyer,238.29,15,their
5690,Michelle Graham,1708.42,16,represent
5691,Mrs. Rebecca Johnson,113.45,3,look
5692,Laura Good,1779.11,10,grow
5693,Heidi Barnes,47.66,5,each
5694,Lorraine Cummings,1247.61,2,study
5695,Amanda Woods,2062.96,23,firm
5696,Susan Brown,1218.36,23,animal
5697,Roberta Mccullough,1590.05,1,yet
5698,Michele Wilkerson,1882.08,5,firm
5699,Aaron Keith,959.98,19,student
5700,Heather Williams,2440.58,22,
5701,Christina Jackson,1486.23,7,sit
5702,Todd Smith,703.2,17,onto
5703,Christina Marshall,2038.55,16,you
5704,Stephen Ellis,332.62,12,reduce
5705,Chase Wallace,639.23,8,staff
5706,Michael Lee,2165.83,15,case
5707,Michael Hernandez,1393.78,7,huge
5708,Cassie Martin,2016.44,19,five
5709,Jonathan Oconnell,2289.2,3,message
5710,,2404.98,24,
5711,Susan Robertson,1447.89,8,production
5712,Carlos Martinez,868.93,5,raise
5713,Mario Miller,1436.95,2,management
5714,Kimberly Lawson,2439.42,25,since
5715,Laura Dixon,2474.23,25,behind
5716,David Smith,1133.78,4,loss
5717,Jeffrey Lee,543.06,21,herself
5718,John Mitchell,1575.57,3,serious
5719,Sarah Cooper,786.58,3,keep
5720,Dennis Allison,2300.66,10,call
5721,Emily Evans,691.51,22,own
5722,Shawn Parsons,1555.26,21,far
5723,Sean Solis,1404.83,20,sister
5724,Monica Allen,1584.4,10,job
5725,Jennifer Powell,1089.13,20,either
5726,Lauren Wright,1458.6,16,up
5727,,320.17,4,describe
5728,Susan Carter,2332.67,5,dog
5729,Emily Sutton,1293.5,1,Republican
5730,Gabriella Nichols,1732.28,15,theory
5731,Jason Wood,1584.57,8,purpose
5732,Dawn Lewis,2051.26,2,with
5733,Mr. Joshua Gonzalez,1576.89,8,example
5734,Alicia Cardenas,1921.85,2,she
5735,Dana Reynolds,454.79,15,two
5736,Mark Wilcox,485.06,7,nearly
5737,Debra Medina,2186.53,14,phone
5738,Wendy Powers,2456.27,18,strategy
5739,Kendra Prince,105.63,7,
5740,,11.25,5,environmental
5741,Stacy Jones,254.15,11,today
5742,Michelle Yates,253.16,12,media
5743,Brandi Pearson,378.62,4,trip
5744,Megan Dawson,1362.67,19,order
5745,Tammy Sanchez,1210.97,23,rise
5746,John Ramirez,2070.0,25,bad
5747,Chad Chavez,1898.95,8,happen
5748,Jack Holloway,1564.5,15,bed
5749,Peter Murphy,1676.82,20,agent
5750,Jessica George,1196.09,25,pattern
5751,John Davis,1060.81,2,partner
5752,Jenny Knight,576.61,4,plant
5753,Debra Campbell,2370.74,1,office
5754,Chase Sanchez,2430.88,4,sell
5755,Ms. Nancy Long,1389.71,7,
5756,Kathy Clark,675.96,10,decision
5757,Robert Nguyen,421.0,11,avoid
5758,Zoe Fernandez,1280.57,8,next
5759,Blake Thompson,1975.56,18,movie
5760,Kevin English,2397.22,9,soon
5761,,1401.44,7,blood
5762,Nicole Bishop,1239.48,15,have
5763,,2213.46,3,cost
5764,Connor Ellis,353.59,6,rise
5765,Amber Marsh,1080.9,5,country
5766,Melissa Fuller,2372.58,24,push
5767,,301.97,1,
5768,Bobby Scott,251.62,23,world
5769,,338.27,8,relate
5770,Dawn Baker,976.49,10,they
5771,Vanessa Harper,169.12,13,
5772,James Nichols,1665.86,22,although
5773,Jasmine Stewart,174.16,9,poor
5774,Brandon Brown,1813.97,11,gun
5775,Luis Martin,1816.93,4,meeting
5776,Lisa Hester,276.15,1,bill
5777,Timothy Morris,1932.06,4,whether
5778,Joseph Hawkins,1232.84,20,star
5779,Tracy Powers,280.67,16,attention
5780,Joseph Roberts,1828.54,25,world
5781,Joshua Bowman,671.45,8,response
5782,Yvette Jimenez DDS,624.98,6,situation
5783,Nicole Schultz,2084.02,6,road
5784,Alicia Ballard,1649.8,5,beautiful
5785,Joseph Benson,94.01,1,interesting
5786,Barbara Acosta,1288.63,20,especially
5787,Ebony Browning,2150.8,11,keep
5788,Brian Silva,1418.21,11,around
5789,Samuel Anderson,460.82,17,hour
5790,Sandra Aguirre,1599.16,5,fund
5791,Michelle Nunez,92.21,21,nice
5792,Emma King,1310.6,19,American
5793,Laura Carter,83.02,10,grow
5794,David Carter,1513.26,18,these
5795,Angela Smith,122.36,2,federal
5796,Elizabeth Cruz,1341.63,3,yes
5797,Rebecca Collins,538.29,13,hundred
5798,Patricia Scott,753.72,19,current
5799,Jason Juarez,670.32,23,professional
5800,John Williams,1664.6,8,through
5801,Brittney Gonzalez,1940.91,19,structure
5802,David Trujillo,236.42,14,throw
5803,Terrance Howard,1248.74,14,treat
5804,Sharon Davis,1192.8,19,possible
5805,Ryan Hoffman,1603.8,7,we
5806,Dennis Gibson,598.22,6,store
5807,Mallory Orozco,868.81,15,despite
5808,Douglas Lee,821.11,12,account
5809,Brittany Price,106.61,3,crime
5810,Steven Walsh,111.44,5,admit
5811,Robert Rose,93.09,7,sell
5812,Madison Myers,1395.68,16,book
5813,,1676.21,25,project
5814,Mr. Edward Simmons,1506.18,11,buy
5815,Benjamin Woodard,2111.31,14,five
5816,Michael Shepherd,2330.79,10,week
5817,Mary Boyd,1077.26,22,pattern
5818,John Bradley,1662.98,9,road
5819,Daniel Leach,1044.91,6,tonight
5820,Raymond Wilson,1264.15,7,what
5821,Andrea Campbell,1425.54,18,shake
5822,,347.79,25,community
5823,Andre Sanchez,865.94,17,receive
5824,Antonio Lee,2051.69,1,provide
5825,Christina Murphy,649.66,15,weight
5826,Kenneth Mullins,170.67,3,foreign
5827,Stephen Williams,2120.0,19,successful
5828,April Clark,417.77,7,reveal
5829,Danielle Pierce MD,1297.69,24,recognize
5830,Steven Hernandez,1807.38,2,may
5831,Scott Hall,975.34,21,tree
5832,Susan Hill,1374.63,12,particularly
5833,Adam Allison,1211.16,5,even
5834,Nicole Martin,630.92,14,blood
5835,Logan Eaton,342.35,12,fire
5836,Maria Evans,2292.86,7,key
5837,Richard Reyes,1800.46,12,tax
5838,Danielle Kim DDS,858.85,19,stock
5839,Jerry Davis,1530.85,25,class
5840,Tracey Clark,963.42,20,continue
5841,Erin Campbell,2212.26,16,that
5842,Rachel Lopez,1630.89,9,music
5843,Rose Ritter,1766.23,10,wait
5844,Daniel Randolph,530.23,3,hard
5845,Robert Copeland,1742.31,2,child
5846,,2101.22,16,describe
5847,Katherine Roberts,837.65,8,bag
5848,Thomas Marks,1105.56,18,impact
5849,Tom Johnson,1663.61,5,bill
5850,Isaac Morgan,1306.31,16,office
5851,Amy Berry,1987.74,20,type
5852,Melissa Robinson,1114.4,1,seek
5853,Stephen Johnson,400.75,16,itself
5854,Heidi Norton,2193.83,9,expect
5855,Daniel Gray,1846.42,4,begin
5856,Kathy Barnes,1725.63,12,dinner
5857,,686.49,13,friend
5858,Frank Thomas,843.31,11,course
5859,Christine Marquez,1354.42,6,more
5860,Mr. Mario Ruiz,1469.83,18,key
5861,Amy Dawson,868.05,14,ready
5862,Brittney Cox,1376.68,3,some
5863,Christopher Gonzalez MD,904.22,6,create
5864,Dana Schneider,2331.39,19,bar
5865,April Marshall,1719.07,15,cost
5866,Claudia Jones,2417.57,23,alone
5867,Joseph Fox,386.13,8,stuff
5868,Christina Harris,981.61,17,small
5869,Thomas Garza,449.72,7,
5870,Misty Thornton,134.04,10,
5871,Kristina Tucker,18.16,24,statement
5872,Lori Sanchez,1606.03,2,there
5873,Angela Lawson,97.56,10,inside
5874,Dylan Bell,288.01,25,child
5875,Curtis Anderson,1405.01,12,house
5876,Marc Watson,2447.89,12,mission
5877,,1873.55,2,policy
5878,Dakota Owens,2260.31,24,good
5879,Kari Riley,498.42,7,animal
5880,Elizabeth Boyd,504.41,17,action
5881,Kaitlyn Martinez,1018.24,13,adult
