order_id,customer_id,customer_email,order_status,order_total,item_count,created_at
3961,278240,joseph89@example.org,cancelled,717.27,3,2025-03-20 23:04:33
3962,836991,christopherporter@example.net,cancelled,1939.26,24,2024-10-03 01:47:41
3963,542496,bwilson@example.net,shipped,1788.25,2,2025-03-17 15:29:43
3964,619006,jennifer65@example.net,pending,1573.28,17,2025-07-16 23:05:37
3965,941529,angelajohnson@example.net,pending,1471.56,17,2025-01-26 04:57:53
3966,154019,georgelinda@example.org,returned,2094.42,18,2025-11-07 21:59:03
3967,238986,,shipped,1575.88,2,2026-05-28 22:15:58
3968,85497,michellecooper@example.com,returned,2034.16,7,2024-11-17 01:10:18
3969,192624,barnesgilbert@example.net,returned,2388.9,9,2025-08-09 14:11:50
3970,524757,amandatucker@example.com,delivered,802.58,6,2025-10-18 21:50:29
3971,100598,fprice@example.com,cancelled,1252.68,19,2024-10-01 05:19:54
3972,547745,,shipped,1454.83,22,2026-01-05 02:17:09
3973,407512,alisonbrewer@example.com,pending,1991.39,1,2026-06-20 03:39:20
3974,120849,zmorrison@example.net,pending,99.25,10,2024-11-07 02:21:48
3975,534692,susanolson@example.org,returned,1944.98,24,2026-03-01 02:08:45
3976,19836,jose84@example.net,shipped,922.22,25,2025-12-02 10:08:59
3977,681976,williamchurch@example.org,delivered,2050.97,4,2025-05-09 15:42:57
3978,973356,shortkaren@example.net,pending,858.4,12,2025-05-17 07:03:36
3979,366289,latoyacurry@example.org,shipped,1890.82,19,2025-05-23 22:10:14
3980,758171,markperez@example.org,delivered,358.36,19,2026-07-26 20:40:41
3981,235793,phylliswalker@example.com,delivered,2157.67,18,2024-11-27 02:59:38
3982,434104,,returned,761.4,5,2026-05-01 15:35:07
3983,366322,holmesjo@example.net,cancelled,2276.57,22,2025-12-30 06:42:04
3984,622935,mitchell72@example.org,cancelled,2410.25,7,2026-01-02 05:06:45
3985,178100,zcampos@example.net,pending,391.29,18,2025-11-05 18:19:37
3986,586040,nayers@example.org,pending,432.64,8,2024-11-27 14:51:50
3987,104269,schmittjessica@example.net,confirmed,1540.95,23,2024-12-27 13:06:06
3988,32467,frandall@example.net,shipped,803.44,1,2025-07-27 09:19:24
3989,597908,clarkclayton@example.com,shipped,1791.03,2,2024-12-07 00:35:47
3990,767379,jenniferwong@example.com,delivered,1034.29,18,2025-02-17 15:27:16
3991,77668,gonzalezdwayne@example.net,shipped,1167.54,12,2024-11-13 14:24:03
3992,628086,raymondadams@example.org,delivered,1398.22,14,2026-04-30 05:15:14
3993,662954,morenodavid@example.org,confirmed,872.19,1,2025-04-06 05:53:12
3994,844715,jamesrichardson@example.org,shipped,1442.41,10,2026-03-11 18:38:28
3995,768615,watsoneric@example.org,shipped,613.7,5,2025-05-26 04:38:48
3996,178081,colekimberly@example.com,returned,1380.49,17,2025-02-04 12:00:12
3997,780455,carrollmark@example.net,returned,497.88,2,2026-05-27 02:31:15
3998,942041,joel43@example.org,delivered,1315.88,14,2025-07-26 19:02:51
3999,601934,hernandezchristopher@example.net,cancelled,1530.24,2,2025-09-24 11:15:05
4000,834221,amandaellis@example.net,cancelled,2094.51,13,2026-07-19 12:36:27
4001,545964,aortiz@example.org,shipped,51.08,24,2026-02-19 05:12:27
4002,231177,owenstony@example.com,pending,529.93,20,2026-04-25 16:25:11
4003,307963,brian84@example.net,confirmed,602.13,15,2024-12-19 19:35:01
4004,893254,garciacharles@example.org,returned,240.82,6,2025-02-05 02:39:37
4005,441911,eric31@example.org,cancelled,2361.86,5,2024-10-23 14:18:06
4006,820936,hannahwilson@example.com,pending,735.98,9,2025-07-30 19:21:43
4007,515338,nicholsonbenjamin@example.org,shipped,1436.62,10,2025-04-03 06:34:33
4008,599263,jmoore@example.net,delivered,1544.13,25,2025-01-17 22:03:56
4009,155476,lisahall@example.org,delivered,656.12,17,2024-10-17 10:32:50
4010,903727,carlarodriguez@example.com,shipped,2265.01,21,2025-06-30 06:38:43
4011,223466,barbara34@example.net,returned,113.89,15,2025-04-15 22:37:12
4012,362166,,cancelled,882.7,17,2026-02-22 16:26:38
4013,443787,vchavez@example.org,pending,542.87,3,2025-10-10 15:38:32
4014,450251,john91@example.com,returned,83.81,24,2025-02-05 02:39:36
4015,725633,johnjohnson@example.org,confirmed,458.77,24,2025-04-02 16:35:53
4016,770255,uparks@example.org,cancelled,1159.14,14,2024-12-03 02:34:01
4017,111073,cynthiaharmon@example.net,shipped,1751.64,21,2026-04-06 11:16:23
4018,441055,reesecrystal@example.net,pending,1681.1,23,2026-03-19 15:12:37
4019,284058,megan57@example.org,delivered,886.56,4,2026-01-17 21:14:17
4020,182524,johnherman@example.net,cancelled,914.55,11,2025-01-22 23:10:00
4021,213183,,returned,951.3,20,2024-10-21 05:09:46
4022,640463,steelejack@example.net,cancelled,1844.61,15,2025-03-01 07:01:42
4023,133778,hsmith@example.net,pending,1227.54,15,2026-03-21 07:19:26
4024,559042,pdavis@example.org,pending,1615.5,22,2026-01-06 16:43:18
4025,645136,maciasashley@example.org,returned,239.75,24,2024-11-27 05:35:19
4026,511267,michaelwilliams@example.net,cancelled,2444.48,13,2025-12-07 03:39:24
4027,309436,nelsonjason@example.com,delivered,1962.29,23,2025-06-07 00:49:54
4028,365301,desiree22@example.com,pending,2013.65,6,2024-12-06 04:47:27
4029,624801,harringtonsteven@example.org,delivered,1812.57,8,2026-07-06 22:32:13
4030,434233,ejohnson@example.org,cancelled,1461.33,17,2025-02-01 07:13:36
4031,409185,donnapope@example.com,returned,2322.59,20,2025-06-29 03:16:42
4032,32356,igonzales@example.net,shipped,722.51,15,2026-01-19 09:19:10
4033,92453,,delivered,2141.46,23,2026-04-17 00:09:56
4034,300100,zyork@example.com,confirmed,2208.25,23,2024-10-22 07:49:49
4035,153706,robertssarah@example.org,returned,2444.62,7,2026-06-09 05:16:53
4036,857020,ramirezdaniel@example.net,shipped,1977.62,8,2025-08-01 06:33:11
4037,154816,alexiswebb@example.org,delivered,2464.09,21,2026-02-19 21:41:06
4038,519443,jacob73@example.net,shipped,255.49,20,2026-02-04 10:34:23
4039,196135,tkaiser@example.org,delivered,276.18,21,2026-07-27 14:24:41
4040,6789,austin46@example.net,confirmed,260.25,24,2025-11-20 16:35:56
4041,936488,christopher57@example.org,cancelled,727.01,22,2026-04-18 05:52:24
4042,928312,stephanie69@example.net,delivered,1188.03,4,2025-07-31 19:17:53
4043,584530,garciajoshua@example.com,confirmed,21.3,3,2024-08-16 23:52:59
4044,897631,pamela25@example.com,delivered,2201.47,16,2025-07-13 21:53:18
4045,157288,jmiddleton@example.net,pending,950.54,4,2026-07-29 00:02:19
4046,553963,christopher90@example.com,confirmed,860.94,22,2024-09-15 15:40:25
4047,817471,crandall@example.com,pending,17.4,1,2025-07-17 05:11:12
4048,677949,griffithwilliam@example.org,returned,2058.9,14,2024-12-25 07:16:51
